00 03 3F A0 9C,GM --> DIA: Diagnostic command acknowledged
00 03 3F A2 9E,GM --> DIA: Diagnostic command rejected
00 05 BF 7A 13 1F CC,GM --> GLO: door/flap status, Open: DvrDoorFr PgrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 13 3F EC,GM --> GLO: door/flap status, Open: DvrDoorFr PgrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof Boot   Ctrl_Locking: Unlocked
00 05 BF 7A 14 00 D4,GM --> GLO: door/flap status, Open: DvrDoorRr   Ctrl_Locking: Unlocked
00 05 BF 7A 18 00 D8,GM --> GLO: door/flap status, Open: PgrDoorRr   Ctrl_Locking: Unknown
00 05 BF 7A 20 00 E0,GM --> GLO: door/flap status, Open:  Ctrl_Locking: Unknown
00 05 BF 7A 20 04 E4,GM --> GLO: door/flap status, Open: WndwDvrRr   Ctrl_Locking: Unknown
00 05 BF 7A 20 05 E5,GM --> GLO: door/flap status, Open: WndwDvr WndwDvrRr   Ctrl_Locking: Unknown
00 05 BF 7A 20 0C EC,GM --> GLO: door/flap status, Open: WndwDvrRr WndwPgrRr   Ctrl_Locking: Unknown
00 05 BF 7A 20 0E EE,GM --> GLO: door/flap status, Open: WndwPgr WndwDvrRr WndwPgrRr   Ctrl_Locking: Unknown
00 05 BF 7A 20 0F EF,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr WndwDvrRr WndwPgrRr   Ctrl_Locking: Unknown
00 05 BF 7A 20 1F FF,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unknown
00 05 BF 7A 21 1F FE,GM --> GLO: door/flap status, Open: DvrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unknown
00 05 BF 7A 22 1F FD,GM --> GLO: door/flap status, Open: PgrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unknown
00 05 BF 7A 30 00 F0,GM --> GLO: door/flap status, Open:  Ctrl_Locking: Unlocked
00 05 BF 7A 30 02 F2,GM --> GLO: door/flap status, Open: WndwPgr   Ctrl_Locking: Unlocked
00 05 BF 7A 30 03 F3,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr   Ctrl_Locking: Unlocked
00 05 BF 7A 30 08 F8,GM --> GLO: door/flap status, Open: WndwPgrRr Ctrl_Locking: Unlocked
00 05 BF 7A 30 12 E2,GM --> GLO: door/flap status, Open: WndwPgr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 30 13 E3,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 30 16 E6,GM --> GLO: door/flap status, Open: WndwPgr WndwDvrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 30 17 E7,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr WndwDvrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 30 1F EF,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 30 20 D0,GM --> GLO: door/flap status, Open: Boot   Ctrl_Locking: Unlocked
00 05 BF 7A 33 3F CC,GM --> GLO: door/flap status, Open: DvrDoorFr PgrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof Boot   Ctrl_Locking: Unlocked
00 05 BF 7A 50 00 90,GM --> GLO: door/flap status, Open:  Ctrl_Locking: Unlocked
00 05 BF 7A 50 03 93,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr   Ctrl_Locking: Unlocked
00 05 BF 7A 50 08 98,GM --> GLO: door/flap status, Open: WndwPgrRr Ctrl_Locking: Unlocked
00 05 BF 7A 50 0F 9F,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr WndwDvrRr WndwPgrRr   Ctrl_Locking: Unlocked
00 05 BF 7A 50 13 83,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 50 1E 8E,GM --> GLO: door/flap status, Open: WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 50 1F 8F,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 50 20 B0,GM --> GLO: door/flap status, Open: Boot   Ctrl_Locking: Unlocked
00 05 BF 7A 50 28 B8,GM --> GLO: door/flap status, Open: WndwPgrRr Boot Ctrl_Locking: Unlocked
00 05 BF 7A 51 00 91,GM --> GLO: door/flap status, Open: DvrDoorFr   Ctrl_Locking: Unlocked
00 05 BF 7A 51 03 92,GM --> GLO: door/flap status, Open: DvrDoorFr WndwDvr WndwPgr   Ctrl_Locking: Unlocked
00 05 BF 7A 51 05 94,GM --> GLO: door/flap status, Open: DvrDoorFr WndwDvr WndwDvrRr   Ctrl_Locking: Unlocked
00 05 BF 7A 51 08 99,GM --> GLO: door/flap status, Open: DvrDoorFr WndwPgrRr Ctrl_Locking: Unlocked
00 05 BF 7A 51 10 81,GM --> GLO: door/flap status, Open: DvrDoorFr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 51 11 80,GM --> GLO: door/flap status, Open: DvrDoorFr WndwDvr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 51 12 83,GM --> GLO: door/flap status, Open: DvrDoorFr WndwPgr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 51 13 82,GM --> GLO: door/flap status, Open: DvrDoorFr WndwDvr WndwPgr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 51 1A 8B,GM --> GLO: door/flap status, Open: DvrDoorFr WndwPgr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 51 1B 8A,GM --> GLO: door/flap status, Open: DvrDoorFr WndwDvr WndwPgr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 51 1E 8F,GM --> GLO: door/flap status, Open: DvrDoorFr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 51 1F 8E,GM --> GLO: door/flap status, Open: DvrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 51 20 B1,GM --> GLO: door/flap status, Open: DvrDoorFr Boot   Ctrl_Locking: Unlocked
00 05 BF 7A 52 00 92,GM --> GLO: door/flap status, Open: PgrDoorFr   Ctrl_Locking: Unlocked
00 05 BF 7A 52 15 87,GM --> GLO: door/flap status, Open: PgrDoorFr WndwDvr WndwDvrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 52 1D 8F,GM --> GLO: door/flap status, Open: PgrDoorFr WndwDvr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 52 1E 8C,GM --> GLO: door/flap status, Open: PgrDoorFr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 52 1F 8D,GM --> GLO: door/flap status, Open: PgrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 52 3E AC,GM --> GLO: door/flap status, Open: PgrDoorFr WndwPgr WndwDvrRr WndwPgrRr Sunroof Boot   Ctrl_Locking: Unlocked
00 05 BF 7A 52 3F AD,GM --> GLO: door/flap status, Open: PgrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof Boot   Ctrl_Locking: Unlocked
00 05 BF 7A 53 00 93,GM --> GLO: door/flap status, Open: DvrDoorFr PgrDoorFr   Ctrl_Locking: Unlocked
00 05 BF 7A 53 05 96,GM --> GLO: door/flap status, Open: DvrDoorFr PgrDoorFr WndwDvr WndwDvrRr   Ctrl_Locking: Unlocked
00 05 BF 7A 53 15 86,GM --> GLO: door/flap status, Open: DvrDoorFr PgrDoorFr WndwDvr WndwDvrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 53 1F 8C,GM --> GLO: door/flap status, Open: DvrDoorFr PgrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 53 3F AC,GM --> GLO: door/flap status, Open: DvrDoorFr PgrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof Boot   Ctrl_Locking: Unlocked
00 05 BF 7A 53 40 D3,GM --> GLO: door/flap status, Open: DvrDoorFr PgrDoorFr Bonnet   Ctrl_Locking: Unlocked
00 05 BF 7A 54 00 94,GM --> GLO: door/flap status, Open: DvrDoorRr   Ctrl_Locking: Unlocked
00 05 BF 7A 54 04 90,GM --> GLO: door/flap status, Open: DvrDoorRr WndwDvrRr   Ctrl_Locking: Unlocked
00 05 BF 7A 55 00 95,GM --> GLO: door/flap status, Open: DvrDoorFr DvrDoorRr   Ctrl_Locking: Unlocked
00 05 BF 7A 55 20 B5,GM --> GLO: door/flap status, Open: DvrDoorFr DvrDoorRr Boot   Ctrl_Locking: Unlocked
00 05 BF 7A 58 00 98,GM --> GLO: door/flap status, Open: PgrDoorRr   Ctrl_Locking: Unknown
00 05 BF 7A 5B 00 9B,GM --> GLO: door/flap status, Open: DvrDoorFr PgrDoorFr PgrDoorRr   Ctrl_Locking: Unknown
00 05 BF 7A 5B 40 DB,GM --> GLO: door/flap status, Open: DvrDoorFr PgrDoorFr PgrDoorRr Bonnet   Ctrl_Locking: Unknown
00 05 BF 7A 60 1F BF,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unknown
00 05 BF 7A 61 1F BE,GM --> GLO: door/flap status, Open: DvrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unknown
00 05 BF 7A 62 1F BD,GM --> GLO: door/flap status, Open: PgrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unknown
00 05 BF 7A 70 03 B3,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr   Ctrl_Locking: Unlocked
00 05 BF 7A 70 1F AF,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 70 20 90,GM --> GLO: door/flap status, Open: Boot   Ctrl_Locking: Unlocked
00 05 BF 7A 71 10 A1,GM --> GLO: door/flap status, Open: DvrDoorFr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 71 1F AE,GM --> GLO: door/flap status, Open: DvrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 73 3F 8C,GM --> GLO: door/flap status, Open: DvrDoorFr PgrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof Boot   Ctrl_Locking: Unlocked
00 05 BF 7A 90 20 70,GM --> GLO: door/flap status, Open: Byte1_Bit7 Boot   Ctrl_Locking: Unlocked
00 06 44 73 00 00 80 B1,GM --> EWS: Immobiliser status request, Data="00 00 80"
00 07 3F A0 04 02 C8 21 77,GM --> DIA: Diagnostic command acknowledged, Data="04 02 C8 21"    [  !]
00 08 40 6F 80 0A BF 13 01 00,GM --> FBZV: Cmd_0x6F, Data="80 0A BF 13 01"
00 0F 3F A0 86 90 12 27 20 05 21 09 17 00 06 22 8D,GM --> DIA: Diagnostic command acknowledged, Data="86 90 12 27 20 05 21 09 17 00 06 22"    [ '  !    "]
00 0F 3F A0 86 90 42 55 10 01 25 05 14 00 19 11 BC,GM --> DIA: Diagnostic command acknowledged, Data="86 90 42 55 10 01 25 05 14 00 19 11"    [BU  %     ]
00 0F 3F A0 86 90 43 06 10 04 26 07 11 00 22 11 D4,GM --> DIA: Diagnostic command acknowledged, Data="86 90 43 06 10 04 26 07 11 00 22 11"    [C   &   " ]
00 0F 3F A0 86 91 07 17 04 02 01 01 16 00 02 12 97,GM --> DIA: Diagnostic command acknowledged, Data="86 91 07 17 04 02 01 01 16 00 02 12"    [          ]
00 0F 3F A0 88 38 14 80 30 04 21 08 11 00 04 20 9C,GM --> DIA: Diagnostic command acknowledged, Data="88 38 14 80 30 04 21 08 11 00 04 20"    [8 0 !     ]
00 15 3F A0 C0 5E CD 03 F0 21 30 00 A7 03 DF 81 00 53 FF 01 AA 4C 8A,GM --> DIA: Diagnostic command acknowledged, Data="C0 5E CD 03 F0 21 30 00 A7 03 DF 81 00 53 FF 01 AA 4C"    [^ !0   S L]
18 03 80 16 8D,CDC --> IKE: Odometer request
18 04 FF 02 00 E1,CDC --> LOC: Device status ready
18 04 FF 02 01 E0,CDC --> LOC: Device status ready, after Reset
18 0A 68 39 00 02 00 01 00 01 00 41,CDC --> RAD: CD_status: Stop Request=Pause CD=1 Track=0 CDs_Loaded=P1
18 0A 68 39 00 02 00 01 00 01 01 40,CDC --> RAD: CD_status: Stop Request=Pause CD=1 Track=1 CDs_Loaded=P1
18 0A 68 39 00 09 00 01 00 01 00 4A,CDC --> RAD: CD_status, Stop  Request=Play  CD=1  Track=0  CDs_Loaded=P1
18 0A 68 39 00 09 00 3F 00 01 00 74,CDC --> RAD: CD_status, Stop  Request=Play  CD=1  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 00 09 00 3F 00 01 01 75,CDC --> RAD: CD_status, Stop  Request=Play  CD=1  Track=1  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 00 09 02 01 00 01 00 48,CDC --> RAD: CD_status, Stop  Request=Play  CD=1  Track=0  CDs_Loaded=P1  Errors=HIGH_TEMP
18 0A 68 39 00 09 02 01 00 03 02 48,CDC --> RAD: CD_status, Stop  Request=Play  CD=3  Track=2  CDs_Loaded=P1  Errors=HIGH_TEMP
18 0A 68 39 01 09 00 01 00 01 00 4B,CDC --> RAD: CD_status, Pause  Request=Play  CD=1  Track=0  CDs_Loaded=P1
18 0A 68 39 01 09 00 3F 00 01 01 74,CDC --> RAD: CD_status, Pause  Request=Play  CD=1  Track=1  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 00 00 01 00 01 00 41,CDC --> RAD: CD_status, Play  CD=1  Track=0  CDs_Loaded=P1
18 0A 68 39 02 01 00 01 00 01 00 40,CDC --> RAD: CD_status, Play  CD=1  Track=0  CDs_Loaded=P1
18 0A 68 39 02 02 00 01 00 01 00 43,CDC --> RAD: CD_status, Play  Request=Pause  CD=1  Track=0  CDs_Loaded=P1
18 0A 68 39 02 04 00 01 00 01 00 45,CDC --> RAD: CD_status, Play  CD=1  Track=0  CDs_Loaded=P1
18 0A 68 39 02 06 80 01 00 01 00 C7,CDC --> RAD: CD_status, Play  CD=1  Track=0  CDs_Loaded=P1  Errors=Bit7
18 0A 68 39 02 07 80 01 00 01 00 C6,CDC --> RAD: CD_status, Play  CD=1  Track=0  CDs_Loaded=P1  Errors=Bit7
18 0A 68 39 02 08 00 01 00 01 00 49,CDC --> RAD: CD_status, Play  CD=1  Track=0  CDs_Loaded=P1
18 0A 68 39 02 08 00 01 01 01 00 48,CDC --> RAD: CD_status, Play  CD=1  Track=0  CDs_Loaded=P1
18 0A 68 39 02 08 00 01 02 01 00 4B,CDC --> RAD: CD_status, Play  CD=1  Track=0  CDs_Loaded=P1
18 0A 68 39 02 08 80 01 00 01 00 C9,CDC --> RAD: CD_status, Play  CD=1  Track=0  CDs_Loaded=P1  Errors=Bit7
18 0A 68 39 02 09 00 00 08 01 00 41,CDC --> RAD: CD_status, Play  Request=Play  CD=1  Track=0  CDs_Loaded=None
18 0A 68 39 02 09 00 00 20 01 00 69,CDC --> RAD: CD_status, Play  Request=Play  CD=1  Track=0  CDs_Loaded=None
18 0A 68 39 02 09 00 01 00 01 00 48,CDC --> RAD: CD_status, Play  Request=Play  CD=1  Track=0  CDs_Loaded=P1
18 0A 68 39 02 09 00 10 00 01 00 59,CDC --> RAD: CD_status, Play  Request=Play  CD=1  Track=0  CDs_Loaded=P5
18 0A 68 39 02 09 00 1F 00 02 00 55,CDC --> RAD: CD_status, Play  Request=Play  CD=2  Track=0  CDs_Loaded=P1,P2,P3,P4,P5
18 0A 68 39 02 09 00 20 00 01 00 69,CDC --> RAD: CD_status, Play  Request=Play  CD=1  Track=0  CDs_Loaded=P6
18 0A 68 39 02 09 00 3F 00 00 00 77,CDC --> RAD: CD_status, Play  Request=Play  CD=0  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 00 01 00 76,CDC --> RAD: CD_status, Play  Request=Play  CD=1  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 00 01 01 77,CDC --> RAD: CD_status, Play  Request=Play  CD=1  Track=1  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 00 02 00 75,CDC --> RAD: CD_status, Play  Request=Play  CD=2  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 00 02 01 74,CDC --> RAD: CD_status, Play  Request=Play  CD=2  Track=1  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 00 02 02 77,CDC --> RAD: CD_status, Play  Request=Play  CD=2  Track=2  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 00 02 30 45,CDC --> RAD: CD_status, Play  Request=Play  CD=2  Track=30  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 00 02 55 20,CDC --> RAD: CD_status, Play  Request=Play  CD=2  Track=55  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 00 02 99 EC,CDC --> RAD: CD_status, Play  Request=Play  CD=2  Track=99  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 00 03 00 74,CDC --> RAD: CD_status, Play  Request=Play  CD=3  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 00 03 01 75,CDC --> RAD: CD_status, Play  Request=Play  CD=3  Track=1  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 00 03 02 76,CDC --> RAD: CD_status, Play  Request=Play  CD=3  Track=2  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 00 03 03 77,CDC --> RAD: CD_status, Play  Request=Play  CD=3  Track=3  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 00 04 00 73,CDC --> RAD: CD_status, Play  Request=Play  CD=4  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 00 05 00 72,CDC --> RAD: CD_status, Play  Request=Play  CD=5  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 00 07 00 70,CDC --> RAD: CD_status, Play  Request=Play  CD=7  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 00 45 00 32,CDC --> RAD: CD_status, Play  Request=Play  CD=45  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 01 00 00 76,CDC --> RAD: CD_status, Play  Request=Play  CD=0  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 01 01 00 77,CDC --> RAD: CD_status, Play  Request=Play  CD=1  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 01 02 00 74,CDC --> RAD: CD_status, Play  Request=Play  CD=2  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 01 03 02 77,CDC --> RAD: CD_status, Play  Request=Play  CD=3  Track=2  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 02 01 00 74,CDC --> RAD: CD_status, Play  Request=Play  CD=1  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 03 01 00 75,CDC --> RAD: CD_status, Play  Request=Play  CD=1  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 04 01 00 72,CDC --> RAD: CD_status, Play  Request=Play  CD=1  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 04 03 02 72,CDC --> RAD: CD_status, Play  Request=Play  CD=3  Track=2  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 00 3F 08 01 00 7E,CDC --> RAD: CD_status, Play  Request=Play  CD=1  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6
18 0A 68 39 02 09 01 01 00 01 00 49,CDC --> RAD: CD_status, Play  Request=Play  CD=1  Track=0  CDs_Loaded=P1  Errors=Bit0
18 0A 68 39 02 09 01 3F 00 02 00 74,CDC --> RAD: CD_status, Play  Request=Play  CD=2  Track=0  CDs_Loaded=P1,P2,P3,P4,P5,P6  Errors=Bit0
18 0A 68 39 02 09 01 3F 00 03 02 77,CDC --> RAD: CD_status, Play  Request=Play  CD=3  Track=2  CDs_Loaded=P1,P2,P3,P4,P5,P6  Errors=Bit0
